signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
sound_1,0,-9.26383318095079e-06,2.2660329612866284e-09,4.760286715405521e-05,4.897458300955648e-06,3.5277773497366706e-08,26,-8.78195356810742e-06,1.8762074842731144e-10,1.3697472337161752e-05,-1.4683263987561678e-07,3.971151853495591e-09
sound_1,1,-1.2809381763346857e-06,1.0909557001816017e-09,3.302961852915655e-05,-4.322870048710284e-06,1.63889475418979e-08,2805,-1.4359184612292641e-06,2.0208765232032307e-10,1.4215753666982383e-05,-6.829741558924631e-08,3.062242712214331e-09
sound_1,2,1.6865900501057943e-05,1.7643455766551612e-09,4.200411380633046e-05,-2.0766146581061775e-06,3.0732062645501204e-08,223,9.722110470345827e-06,3.4106232118044774e-10,1.846787267609477e-05,1.3122980440740336e-07,6.533726297670837e-09
sound_1,3,-8.213203617870305e-06,1.7886840622887328e-09,4.229283700922336e-05,1.0450114931499755e-06,2.784211163935996e-08,5649,-8.53630155099409e-06,4.3769156275674543e-10,2.0921079387946153e-05,1.970807078693966e-07,7.658400103893744e-09
sound_1,4,-2.390467157406921e-05,4.009483967772571e-09,6.332048616184632e-05,-1.832693440835639e-05,6.871375936255026e-08,4506,-1.8878094789948946e-05,1.0777677758506105e-09,3.28293736743577e-05,-2.0587395544572762e-06,2.1512253581233617e-08
sound_1,5,1.209750744466212e-05,3.636398158493366e-09,6.0302555157251556e-05,6.434601782188034e-06,5.674121767300532e-08,9933,9.51358136575486e-06,4.908138320225602e-10,2.2154318586283807e-05,1.9742941252514426e-06,8.719830936380974e-09
sound_1,6,1.53947388059794e-05,6.806836004346703e-09,8.250355146505333e-05,-2.5740709924763735e-05,1.0565750980876545e-07,10028,1.3231278243205412e-05,1.0753491003797023e-09,3.2792515920247754e-05,3.733159215726672e-06,1.875623736493235e-08
sound_1,7,9.844055355034981e-06,1.4180972782803322e-09,3.7657632404073575e-05,4.114420689154626e-06,2.2725040561699876e-08,5732,6.0646229954098505e-06,1.1203207410840632e-10,1.058452049496841e-05,3.948664114880641e-10,2.2321758927729044e-09
sound_1,8,-4.1896877828688706e-05,5.443054347783954e-09,7.377705841102608e-05,1.6059063583741455e-05,1.0797604079364033e-07,7260,-1.587199196784575e-05,5.159059200240217e-10,2.2713562468798718e-05,3.4013749651960034e-07,1.1517390735770723e-08
sound_1,9,-3.0706859603152884e-07,1.554445362253368e-09,3.942645510635426e-05,-1.8521058973752054e-06,2.3318094800640553e-08,196,-8.673343914115369e-08,2.551965563595626e-10,1.5974872655503787e-05,2.013305335334144e-07,3.828061185735417e-09
sound_1,10,1.164743658800058e-05,2.6796271876782937e-09,5.176511554781167e-05,1.750758880782059e-05,4.222934950124683e-08,10028,1.3231278243205412e-05,1.0753491003797023e-09,3.2792515920247754e-05,3.733159215726672e-06,1.875623736493235e-08
sound_1,11,-4.254122869732803e-05,6.923627716136931e-09,8.320833922232153e-05,-4.222005824873849e-05,1.3100075782822947e-07,8471,-1.2528366506983433e-05,9.406297933148754e-10,3.066968851023557e-05,-6.401841747921698e-06,1.64638464097227e-08
sound_1,12,-2.836917827503392e-06,2.707316331932688e-09,5.203187803580309e-05,1.3575606135079387e-05,4.073046652039041e-08,2945,-2.7869501065924583e-06,1.9429810159098397e-10,1.3939085392915275e-05,-2.059474388124523e-08,3.0309778873142952e-09
sound_1,13,-9.689064568320239e-06,1.6422419134420134e-09,4.052458406254176e-05,-5.53291840803248e-06,2.6041798284766377e-08,3027,-8.482556401005123e-06,2.989534543024117e-10,1.7290270509810182e-05,-1.0587281459449456e-07,5.56360826097967e-09
sound_1,14,3.1281854701960744e-05,6.400669906333174e-09,8.000418680502398e-05,1.3885207951265307e-06,1.1068836509891634e-07,7203,1.06453053240633e-05,3.000317925788249e-10,1.73214258240719e-05,4.188261369636514e-08,6.200314770320328e-09
sound_1,15,2.5689090615304344e-05,2.6651041977391027e-09,5.162464719239351e-05,1.154501417338453e-05,4.98755036157063e-08,4499,1.021014876838698e-05,2.746652625897254e-10,1.657302816596066e-05,5.58875635715777e-07,5.683686006934792e-09
sound_1,16,1.0140004437733009e-05,7.708271145267887e-10,2.776377342017451e-05,2.4294042081788345e-06,1.3104702067860506e-08,5588,7.720553521385511e-06,2.8450918123416966e-10,1.686739995476984e-05,-9.742990268919009e-08,5.161741918661217e-09
sound_1,17,-1.6526931833406183e-05,3.1588545620764415e-09,5.620368815368295e-05,-5.155022629265051e-06,5.147991056853744e-08,4506,-1.8878094789948946e-05,1.0777677758506105e-09,3.28293736743577e-05,-2.0587395544572762e-06,2.1512253581233617e-08
sound_1,18,-2.0365574700362778e-05,2.7229968822322126e-09,5.2182342628826206e-05,-1.5122988719573467e-05,4.706630272662404e-08,10014,-1.13286553999286e-05,1.1073101799690388e-09,3.327627052373867e-05,-6.070363231377215e-06,1.8534729197090558e-08
sound_1,19,3.727607476780523e-05,4.9625631414703055e-09,7.044546217798777e-05,5.030506433360067e-05,9.528103337347965e-08,5605,1.173275495581044e-05,4.847695562698039e-10,2.2017482968536704e-05,1.93322222467689e-06,9.336406426843474e-09
sound_1,20,-3.4805800413826665e-05,1.6761549098741403e-09,4.094087089784657e-05,-2.1158742818809436e-06,4.331397978481916e-08,108,-1.2027187965988928e-05,2.689880571594351e-10,1.6400855378895186e-05,-1.7588891400789588e-07,6.204619612929961e-09
sound_1,21,-5.802007692876801e-05,5.149550322834945e-09,7.176036735437567e-05,-2.099056936364233e-05,1.277381947448265e-07,7260,-1.587199196784575e-05,5.159059200240217e-10,2.2713562468798718e-05,3.4013749651960034e-07,1.1517390735770723e-08
sound_1,22,-1.5625215828394467e-05,2.0035908460634313e-09,4.47614884254694e-05,-6.812632600798136e-07,3.37160732362101e-08,8467,-1.4075711282869277e-05,3.0838620874036334e-10,1.7560928470339015e-05,-1.861356570882224e-07,7.597677852885851e-09
sound_1,23,3.461964633542799e-05,6.523786215257719e-09,8.076995861864558e-05,1.138027863608892e-05,1.1583459191471749e-07,2909,1.1994912962068797e-05,6.071358626829891e-10,2.464012708333683e-05,1.3109667062168387e-06,1.1265206994758924e-08
sound_1,24,2.79205927251871e-05,3.63254486725026e-09,6.0270597037446544e-05,5.838098827765779e-06,6.618156548064047e-08,223,9.722110470345827e-06,3.4106232118044774e-10,1.846787267609477e-05,1.3122980440740336e-07,6.533726297670837e-09
sound_1,25,-1.0316010104305743e-05,2.9670771568540376e-09,5.4470883569610264e-05,8.702929544052966e-07,4.610245831989263e-08,8372,-1.034404519018525e-05,1.3846639907713807e-10,1.176717464292674e-05,9.283469781047678e-10,3.6819850496059904e-09
sound_1,26,3.296641504449348e-05,4.361927481374876e-09,6.604488989600086e-05,3.679668210177416e-05,8.173068003391023e-08,5605,1.173275495581044e-05,4.847695562698039e-10,2.2017482968536704e-05,1.93322222467689e-06,9.336406426843474e-09
sound_1,27,4.88144377082486e-05,7.46062426248031e-09,8.637490528203381e-05,4.7877994638264386e-05,1.4765210386879188e-07,4516,1.9495314335054776e-05,1.0581878881267018e-09,3.252980000133265e-05,4.911338405829469e-06,2.1573827537239408e-08
sound_1,28,6.898332701866391e-05,5.7829498121150156e-09,7.604570870282567e-05,2.75860510010639e-05,1.581247382801841e-07,4516,1.9495314335054776e-05,1.0581878881267018e-09,3.252980000133265e-05,4.911338405829469e-06,2.1573827537239408e-08
