signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
en_speech,0,-0.0001242592396328682,7.351185183471361e-07,0.0008573905284916181,0.03219135748782665,1.1258383154719115e-05,7446,-7.339558659577159e-05,2.8084241681709345e-07,0.0005299456734582267,0.0021758715481405653,4.293439934232464e-06
en_speech,1,-0.00014942640653387558,1.0752374255545577e-05,0.003279081312737697,0.8619515043970166,0.00016162053759772804,3318,-0.00011866415869553745,7.446357446252019e-07,0.0008629227918100216,-0.036890848481791506,1.1380753907761824e-05
en_speech,2,0.00029231337329502146,1.1569448283111125e-06,0.001075613698458286,-0.013669961957168563,1.8635879047773405e-05,8376,0.00021638516801370476,2.895955863705655e-07,0.0005381408610861709,0.022709067657633232,5.046271909603272e-06
en_speech,3,0.0010732948492016047,1.568978519561574e-06,0.0012525887272211793,0.0564877358371239,4.081410529326405e-05,5899,0.0003023995035730471,3.2974312559971446e-07,0.0005742326406603115,0.030969523525697318,6.317828780414096e-06
en_speech,4,2.4052296692850737e-05,1.6581298251851527e-06,0.0012876838995596522,0.1144682341806849,2.4880625072420303e-05,1867,1.35218091483922e-05,4.007394973812039e-07,0.0006330398860902873,0.013567975895026254,6.0138350505577405e-06
en_speech,5,-0.0007236677108014435,1.987619343488513e-06,0.0014098295441252863,-0.3169434335140987,3.766971448717672e-05,1908,-0.00032652828636323063,4.1982482271854274e-07,0.000647938903538399,-0.011381333230859433,7.896683167707762e-06
en_speech,6,-0.00013356798107343074,2.906260028199085e-07,0.0005390973964135873,0.004157328169140268,4.626996125819112e-06,7472,-1.5125378291409208e-05,9.301245730617993e-08,0.0003049794375137116,0.0008616758330643004,1.3986185156195722e-06
en_speech,7,-4.4441685999973695e-05,1.6621638436674829e-06,0.0012892493333981146,-0.04567370464766095,2.4962083606830043e-05,1921,-5.3004528711943715e-05,3.7401881199149e-07,0.0006115707743111095,0.0021917539826901934,5.652424380831978e-06
en_speech,8,-0.0004260348162917518,2.6688976067852203e-06,0.0016336761021650589,-0.04298494812144604,4.275604907216951e-05,5814,-0.00026134812498445584,6.363246574971906e-07,0.0007976996035458402,-0.02437671367996436,1.0569412498951219e-05
en_speech,9,-0.0001316167445166435,1.6585503251744905e-06,0.0012878471668542391,-0.03463214126785654,2.5138099389174746e-05,7301,-0.00012705996381225085,2.2388814378589807e-07,0.00047316819819795376,-0.020636390363428687,3.6004856728480293e-06
