signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
sound_0,14,1.4987529168070579e-05,3.905194035408241e-09,6.249155171227741e-05,5.128101042939031e-06,6.19473009895801e-08,7258,1.3671858537854809e-05,6.983577275064641e-10,2.6426458852946305e-05,2.468647315102713e-06,1.3279161650783661e-08
sound_0,15,-2.412424076954989e-06,4.9154087739162384e-09,7.010997627952985e-05,5.2256583711312876e-05,7.381842845764965e-08,8384,-2.3891896609327956e-06,2.6826277796247004e-10,1.6378729436756384e-05,-9.30068204185064e-08,4.109565077975675e-09
sound_0,16,-9.021463222212514e-06,1.7665575969196667e-09,4.203043655399818e-05,-1.425059872070732e-05,2.7719165933841008e-08,8457,-7.154229432221588e-06,2.7153426138938125e-10,1.6478296677429413e-05,-4.5250665875435295e-07,4.8407589023737025e-09
sound_0,17,-1.5771843397524036e-05,2.4337233943189376e-09,4.933278214654975e-05,-5.701079433629098e-06,4.02371165771244e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,18,-2.094558691707348e-05,7.531657192374155e-09,8.678512080059666e-05,4.887262915019967e-05,1.1955562205512254e-07,7240,-1.1753453937534103e-05,6.460971190544788e-10,2.541844053152118e-05,-2.355943309572168e-06,1.1763611977743219e-08
sound_0,19,-6.274438704468965e-06,3.944165283896636e-09,6.280258978654173e-05,1.1852434885300164e-05,5.97530079742916e-08,257,-6.46452129967575e-06,2.501949675974775e-10,1.5817552516033493e-05,-4.537915100115875e-07,4.3797750484715866e-09
sound_0,20,-3.6950649335875064e-05,3.156243917693009e-09,5.6180458503762756e-05,-1.013300675053496e-05,6.782391606053718e-08,5599,-1.4156096635672322e-05,2.1566055280174894e-10,1.4685385687878576e-05,-1.592680535310682e-07,6.240834371403633e-09
sound_0,21,-7.165508203176467e-06,1.392785269929787e-09,3.732003845027209e-05,-1.220445566364769e-06,2.166194666609364e-08,8232,-7.149481756105955e-06,3.063665639805822e-10,1.7503330082603772e-05,-2.0725096267150978e-07,5.3622248004221136e-09
sound_0,22,2.61056136208563e-05,2.6134959616331667e-09,5.112236263743262e-05,8.916733889973895e-06,4.9424985362319064e-08,5597,1.2970982714294727e-05,1.9141553714235874e-10,1.3835300399426055e-05,-3.4322837336191037e-09,5.39492894575337e-09
sound_0,23,6.590853793124742e-06,3.880103606251694e-09,6.229047765310275e-05,-5.840163678915335e-06,5.8853144399610634e-08,4509,5.99420701690066e-06,6.933536682087234e-10,2.6331609677509716e-05,-1.134007367777077e-07,1.0939262789552766e-08
