n_samples,zero_cross_rate,mean,variance,std,skewness,energy,mean_bandwidth,min_bandwidth,max_bandwidth,variance_bandwidth,std_bandwidth,spectral_entropy,wavelet
32768,0.03128756009615385,-5.278643220663071e-05,0.028468389011976698,0.16872578051968437,-0.08382088048605817,932.8522624494508,1204.1426512081478,794.0325204168806,4889.830434552909,530494.4751101785,728.3505166540205,0.4798480666191856,db32
32768,0.025255408653846154,6.226822733879089e-06,0.02048936457639982,0.14314106530412515,-0.011756581403779559,671.3954997099936,1127.5030598406445,891.777956445154,4217.272848987422,343238.2015403522,585.8653442049224,0.4422303507876623,db35
32768,0.02820763221153846,6.5559521317482e-05,0.008856839898094793,0.09411078523790349,-0.24006924793483675,290.2210706193,1035.168756825316,738.0355713382495,4113.113905490265,345794.5956668412,588.0430219523408,0.4664757671681399,db36
32768,0.02880108173076923,0.00011265650391578674,0.013883962830845125,0.11783022885000743,-0.07971631071352259,454.95010991580784,1162.018228342356,888.0505157507012,4228.181746255984,363440.55446674774,602.8603109068864,0.4767259389546358,coif14
32768,0.02735126201923077,-0.00011594686657190323,0.021886423606807343,0.1479406083764946,-0.17104482943018606,717.1747692702338,990.8263723891286,755.5751369380961,3983.728074313537,212484.8355138729,460.960774376598,0.4997903623762162,db37
32768,0.035667067307692306,-0.000239434652030468,0.023059131294752448,0.15185233384690683,-0.08400373589423017,755.6034928215668,1102.9146330816259,844.7782140931121,4370.315507971901,266724.34353662946,516.45362186418,0.5097566392415698,db31
32768,0.028079927884615385,0.0003200983628630638,0.02396606848014991,0.15480978160358572,-0.013039792250935215,785.3234894638881,1156.2442890581679,776.8979067229691,4800.123605226338,609132.0961979829,780.4691513429489,0.4625098238911078,db32
32768,0.024256310096153845,-3.9956532418727875e-05,0.021746698304022184,0.14746761781497042,0.03589629767557886,712.5958623411134,1130.5385998288195,752.9716424361634,4819.028056836319,612305.9487446323,782.4998075045337,0.3839676527100161,db35
32768,0.026990685096153846,-0.0001827320083975792,0.010213779031974261,0.10106324273431098,0.10583179214002919,334.6862054755911,1010.5205859441543,759.0519695341152,4745.154709834633,364483.4623740757,603.7246577489408,0.48331215648402237,db34
32768,0.028973858173076922,0.00015633460134267807,0.01618903410232768,0.12723613520666086,0.2432456737675684,530.4830703316256,977.0637172852747,770.002652575129,3172.0433517830397,144405.038001648,380.00662889171815,0.43121792428946865,db34
32768,0.026893028846153848,-7.977336645126343e-05,0.01564892359681508,0.12509565778561252,0.145348804448406,512.784136949107,953.4228348153231,783.8429644843719,3299.8367080028474,137077.97059322137,370.24042268939434,0.4030678202404004,db36
32768,0.029041466346153847,3.914162516593933e-05,0.011271196884058293,0.10616589322404014,0.032537515012101434,369.3346296995878,948.6618236488799,769.1960271370683,2830.2371638679315,114378.23373054733,338.19851231273526,0.4324451348850472,db27
32768,0.03298527644230769,-5.150400102138519e-05,0.02042435990880872,0.1429138198664101,0.2796933012960842,669.2655124142766,1103.9337641114112,823.7304301048918,3819.1581357006985,243470.5457929641,493.42734601252505,0.46976445390451127,db36
32768,0.02883112980769231,6.663799285888672e-05,0.010382175482263278,0.10189296090635151,0.044213951626774425,340.2032717131078,1102.053761055344,743.2332978646251,4490.415757890342,461053.09117177175,679.0089036027229,0.4754660563391856,db38
32768,0.03217397836538462,-6.187614053487778e-05,0.008438894139377331,0.09186345377448711,0.1555003853719368,276.5258086165413,1009.9594087369973,761.2501093534207,4471.41799280331,488296.6778047908,698.7822821199682,0.49280730207379914,db35
32768,0.037710336538461536,-8.014962077140808e-06,0.011765414517519994,0.1084684955068521,0.023304726580090182,385.52910501509905,1129.2155916413399,860.8323002862759,4260.485943245888,289120.35297295154,537.699128670441,0.536676508719863,db35
32768,0.033143028846153846,-1.0551884770393372e-05,0.01261947405608032,0.11233643245216718,-0.12356186142376825,413.5149295181036,977.288682108561,769.3574852640056,3792.601104883462,264627.36759295635,514.4194471372134,0.40650340182390293,db34
32768,0.03284254807692308,1.4211051166057587e-05,0.00855705953265943,0.09250437574871488,0.025799711575339113,280.397733383812,1056.2966344070567,759.1877991655126,3577.1678672896096,213155.94504836778,461.6881469654249,0.5082659613571187,coif15
32768,0.034112079326923075,-0.0003283414989709854,0.01848672550409816,0.13596589831313646,0.005496395725713475,605.7765539754182,1138.5001654837731,910.7216738336728,3489.3639814672847,186011.63369916196,431.29066034307067,0.5289769173086795,db36
32768,0.04200721153846154,0.0003173425793647766,0.01934936870047815,0.13910200825465516,0.08123802376723009,634.043413521722,1219.679730012464,929.6400008008235,4068.40215587303,295393.948374088,543.5015624394174,0.5073859961477879,coif17
32768,0.03614783653846154,-4.39472496509552e-05,0.022824165636742593,0.15107668793279325,0.00703568496605845,747.9023228716105,1088.8150276902081,765.375617370272,4254.189489541854,281304.54122898955,530.3815053609896,0.5257065328375046,coif17
32768,0.029041466346153847,5.9130601584911346e-05,0.0334229079096353,0.18281933133461378,-0.044349614060542386,1095.2019609538838,1141.3600089722993,905.6646848937385,3549.06929766434,185572.3334388095,430.78107367758105,0.4820643880713233,db35
