n_samples,zero_cross_rate,mean,variance,std,skewness,energy,mean_bandwidth,min_bandwidth,max_bandwidth,variance_bandwidth,std_bandwidth,spectral_entropy,wavelet
32768,0.021183894230769232,0.00020077452063560486,0.015088645849562026,0.12283584920356934,-0.01636403565613546,494.4260680899024,1471.1670746605857,1108.5036297862675,4944.208060790967,307530.60516373906,554.5544203806684,0.4556615789858441,sym20
32768,0.03209134615384615,-0.00015255156904459,0.009258054263141096,0.09621878331771347,0.02516750006770551,303.3686846708879,1645.7349176584048,1148.6573413363947,5350.097360240127,416049.26418796246,645.0188091737809,0.5627352647146755,db33
32768,0.03096454326923077,0.00018460117280483246,0.02684806590705443,0.16385379430167135,0.036990618382290015,879.7585402969271,1495.0582952239008,1164.948199239435,2756.9200376533336,49503.83718828903,222.4945778851454,0.570327454129372,sym20
32768,0.04169170673076923,0.00022519100457429886,0.016790413076214185,0.12957782632925352,0.036352144746743184,550.1899173790589,1721.4631739541328,1376.2415663826475,5119.18281914667,307143.1865721745,554.20500410243,0.6012090211747152,coif15
32768,0.03676382211538461,-0.00028167106211185455,0.017569448134668902,0.13254979492503527,0.06189562781994322,575.7182762436569,2015.5459338989388,1344.277349080476,5199.6211138238505,606299.9065097253,778.6526224894675,0.5969995472590341,coif17
32768,0.041969651442307694,6.296578794717789e-05,0.014474307576559115,0.12030921650712847,0.03358233460171331,474.29424058366567,1699.1788622846539,1310.2341721140265,4414.734643042189,181113.41644285983,425.5742196642788,0.605285038302398,db34
32768,0.04403545673076923,-0.00023524928838014603,0.010962263073493803,0.10470082651772049,-0.013861243595560237,359.2132498463616,1801.7666357547625,1313.8990000995373,5127.572784748113,559978.7466008771,748.3172766954383,0.6281678996838277,db38
32768,0.03946814903846154,0.0005554743111133575,0.023015915176751372,0.15170997059109653,0.127866320249713,754.1956191342324,1832.4966995872962,1489.8774515527293,4743.3296568910955,281622.69309411827,530.681347980234,0.5200075492693992,coif13
32768,0.05082632211538462,0.00011682510375976562,0.01438244257047927,0.11992682173091752,-0.02689584661918669,471.28432537056506,1694.1284296818085,1446.2623643394797,3884.4081902376697,114247.43614013055,338.00508300931,0.6172433285044636,db35
32768,0.044373497596153846,0.00017144996672868729,0.022176854421137975,0.14891895252498244,-0.07652319875588662,726.692128890194,1944.2484063516836,1497.0733230842627,2926.7686580731724,109308.47179477336,330.61831739147993,0.5667515595726409,db21
32768,0.04423076923076923,-0.000119747593998909,0.02704190913147441,0.1644442432299605,0.031688922191682,886.1097482964396,1833.2915031625603,1488.9658008335714,3489.622471118083,90681.92700009234,301.1344002270288,0.5545349052653831,db37
32768,0.03885967548076923,3.0074268579483032e-05,0.02380319051039479,0.15428282636247884,0.018367276131981886,779.9829762820154,2001.608646662723,1249.591612886828,3938.711307964441,533666.4091546364,730.5247491732476,0.6011991219425891,db36
