n_samples,zero_cross_rate,mean,variance,std,skewness,energy,mean_bandwidth,min_bandwidth,max_bandwidth,variance_bandwidth,std_bandwidth,spectral_entropy,wavelet
32768,0.032737379807692306,2.3341737687587738e-05,0.008560338203928444,0.09252209576057194,0.5477794770362724,280.5051801195368,1138.8326241882328,1026.6963863586202,2867.425191123862,60834.13810579317,246.6457745549134,0.502645518983291,db36
32768,0.03073918269230769,-1.2939795851707458e-05,0.008444774210283522,0.09189545260938389,0.47815531401367317,276.7183668091893,1171.5918986007184,1018.2302529721256,3041.1480539517142,107766.20516488243,328.27763427453056,0.5532768156673747,db36
32768,0.02732121394230769,2.7951784431934357e-05,0.010041643007507753,0.10020799872020074,0.6611310736006877,329.0445836717263,1142.5754024711443,997.2378296593707,2607.9802436765176,77745.9537651061,278.8296142182643,0.4475441769043522,coif17
32768,0.032391826923076926,-0.0001143021509051323,0.009334656783659698,0.09661602757130774,0.6729069176674081,305.8784616002813,1201.4153034405572,1017.746414405706,3821.5253051042137,178273.78978575335,422.2248095336812,0.5507673321850428,db34
32768,0.024969951923076925,0.00010013766586780548,0.009321184146667598,0.09654627981785521,0.5949455176606825,305.436890700832,1179.9508440535735,973.8879764409945,4022.5348070709147,263150.18917715474,512.9816655370391,0.43282716157097306,coif15
32768,0.026021634615384617,-5.630403757095337e-05,0.009306737464113757,0.09647143340965633,0.6621230322169447,304.96327710337937,1177.6206293588905,979.8057244429543,3796.1598405254813,231275.02521732214,480.91062081983813,0.4738028573745561,db33
24866,0.03197743941326531,4.228106989400688e-05,0.004277729086165733,0.06540435066695283,0.8703901627670966,106.37005590926856,1323.0935809233117,1038.539425383344,3932.4358614612115,341073.33364376466,584.0148402598727,0.5594785528376719,db36
32768,0.03073918269230769,-1.2911856174468994e-05,0.008445229765874307,0.09189793123827275,0.4782236615539972,276.73329443112016,1171.4859214514956,1015.1854682129516,3041.065208341007,107774.68554745919,328.2905504997961,0.5532804793785009,db36
32768,0.02732121394230769,2.7894042432308197e-05,0.010041488046420797,0.10020722552002324,0.6610664223584726,329.0395058011636,1143.2028886775886,997.3098386051124,2608.116724836295,77753.15669584638,278.84253028518873,0.44755022649435267,coif17
32768,0.032391826923076926,-0.00011424720287322998,0.009334692000512623,0.09661620982274467,0.6729004050590224,305.87961517460644,1201.075178259818,1019.0765632099227,3821.50836844588,178319.08063236013,422.27843969632187,0.5507664761827562,db34
32768,0.024969951923076925,0.00010000448673963547,0.009321089773769296,0.09654579107226423,0.5949192868757913,305.43379741627723,1180.2417765495966,973.6936977935356,4022.2141103149866,263037.16010692174,512.871484981298,0.43282809916434434,coif15
32768,0.026021634615384617,-5.626026540994644e-05,0.009306757781667188,0.09647153871306909,0.662184270214941,304.96394270751625,1177.551035002637,982.4407124245528,3796.118778244735,231282.97172455298,480.91888268662626,0.47380686209709677,db33
24866,0.031818000637755105,4.249707141214409e-05,0.004277804060257373,0.06540492382273198,0.8702610556560666,106.37192067038268,1326.1129414688178,1038.4047206423159,3949.5194757213285,342825.421814596,585.5129561458021,0.5594870240485285,db36
