n_samples,zero_cross_rate,mean,variance,std,skewness,energy,mean_bandwidth,min_bandwidth,max_bandwidth,variance_bandwidth,std_bandwidth,spectral_entropy,wavelet
32768,0.12179236778846154,-2.6736408472061157e-05,0.00011001490704985739,0.010488799123343787,0.15086809049594707,3.6049918979406357,4659.574338607548,3976.8478133765625,7820.683503595229,354308.85605631996,595.2384867062276,0.7567356066255465,db32
32768,0.060291466346153844,-0.00021983683109283447,0.03906254768644123,0.19764247439870114,0.2173346103627247,1280.0031462088227,3333.6550725466905,2144.28586696739,4482.787159793761,618006.198124449,786.1337024479036,0.6649879951884055,coif17
32768,0.03689152644230769,-0.005840228870511055,0.129383482389935,0.3596991553923014,0.13031952152183104,4240.755610851571,2647.874190148359,1933.665728738832,4259.332627606159,293238.2316511346,541.5147566328499,0.6085238221298456,coif14
32768,0.04219501201923077,2.382323145866394e-06,0.015655512037890056,0.12512198862666007,0.7429435472558698,512.999818643555,3252.1062557501195,2124.132505388784,4385.094049210567,197527.23666870294,444.4403634557768,0.5851924249120259,sym18
32768,0.04733323317307692,0.0011279508471488953,0.008960103477288983,0.09465782311720983,0.5601212123267275,293.6463605891913,3733.922758995367,2661.8671591103293,5280.102940573851,344973.9121457043,587.3447983473628,0.6008229929682886,bior5.5
32768,0.07593149038461539,-0.0003341175615787506,0.00090213974512586,0.030035641247122727,0.4111351830061736,29.564973209053278,4251.719060991751,3447.0443156949577,4763.794287644447,54472.096487898496,233.3925801903276,0.6713516675601471,db35
32768,0.059990985576923075,-0.00022178515791893005,0.0036104091412885032,0.06008668023188253,0.836884326106011,118.30749855563045,4005.208837023929,2708.016539952867,4843.4416787562495,187372.94905151162,432.8659712330268,0.5968798133042276,db18
32768,0.06025390625,-0.00015360582619905472,0.0022066500759633013,0.04697499415607522,0.5867034553213649,72.3082828419283,4168.067401144013,3243.0799272035274,6020.268548667924,170308.1393862098,412.6840672793291,0.5859455746107268,db17
32768,0.04704777644230769,-5.44888898730278e-05,0.0028931328546156826,0.053787850436838265,0.22113624685536856,94.80227466952056,3943.792780952051,2880.438214918218,4859.20830702224,122985.8565436103,350.6933939263902,0.6140588294973124,db31
32768,0.050180288461538464,-5.5097974836826324e-05,0.005023707063479223,0.07087811413602385,0.5002609011790875,164.61693253275007,3936.8297888619163,2502.517624031681,5046.922629862644,310203.1337958184,556.958825943012,0.5884827914876154,db26
32768,0.04731820913461538,-7.722433656454086e-05,0.0021624229561764256,0.046501859706644263,-0.01273720240259292,70.85847084317356,4063.349978375826,3287.798825582537,4555.337502272854,84219.69194301181,290.20629204586834,0.5958395918782337,sym16
32768,0.09299879807692307,-0.00014915689826011658,0.00035698953206007855,0.01889416661459506,0.1666323617613732,11.698562001809478,4518.91665946646,4093.052641851861,5058.438074247407,50035.457540995674,223.68606917060274,0.7176836021388948,db34
32768,0.08121243990384615,3.581680357456207e-05,0.00042096186820003365,0.020517355292533044,-0.0658971096417943,13.794120533391833,4439.274692211883,4101.086490769414,4847.990635059316,29621.84968391376,172.10999298098224,0.6728856623639211,coif16
32768,0.07920673076923077,-6.459280848503113e-05,0.0004957133558797094,0.022264621170810642,-0.14075320316400514,16.24367196112871,4430.215361470833,4090.22174030079,5513.460069789345,62938.50872204494,250.87548449787784,0.6660333889579292,sym10
32768,0.07376802884615384,0.00011852756142616272,0.0005892082409786198,0.024273612029910584,-0.03205168531576965,19.30763599090278,4323.312967355927,3943.0173361917,4724.271773013587,35203.33144905978,187.62550852445352,0.6359436790469833,sym14
32768,0.08191856971153846,6.943009793758392e-05,0.0005181062514446853,0.022761947444027836,0.014011824537369199,16.977463606745005,4435.579005144333,3965.1613880895384,5237.469764752862,49794.93011818912,223.14777641327532,0.651053908408392,db15
32768,0.05635516826923077,-0.00018515810370445251,0.0013503367408633643,0.036746928318750184,-0.1476305670166221,44.248957727104425,4203.257804413054,3456.5154849487026,4739.412368904896,82819.79646831425,287.7842880845204,0.5903578199125713,sym11
32768,0.07769681490384615,-1.605786383152008e-05,0.0005073091485750768,0.022523524337347313,0.43418573439252633,16.623514629900455,4368.279042837079,3938.7805383236664,4884.190505693518,56486.30651346431,237.6684802691857,0.6333268673457134,db21
25196,0.101845703125,7.557933302905223e-06,6.114772388231655e-05,0.007819701009777583,-0.006012398971680833,1.5406794901937246,4787.78031490617,3531.674001896603,7973.012461960957,538814.1481998013,734.0396094215906,0.6424573457963528,coif16
32768,0.1271484375,-3.8282014429569244e-05,0.00011000941298841462,0.010488537218717137,0.15056958855023747,3.6048364667221904,4772.935835655618,4131.369153919817,7675.708726990787,323079.55516877596,568.4008754116903,0.7597711260913382,sym12
32768,0.06358924278846154,0.00018379930406808853,0.0312988910106373,0.17691492591253374,0.06430792948174273,1025.6031676111743,3494.4795084712496,2296.668201849341,4768.238442807107,665399.3458509881,815.7201394173053,0.6484553017565231,coif13
32768,0.03600510817307692,-0.0043357983231544495,0.11317298205533217,0.33641192317653096,0.09985248594978809,3709.0682864412665,2752.1979029625422,2071.083209752437,3876.5497084018684,268696.73869494407,518.35966152368,0.5868111923701568,coif14
32768,0.04441856971153846,-0.00028699543327093124,0.013084607431826599,0.11438796891206085,0.754914272774646,428.75911530759186,3356.1569331155947,2251.7334088499947,3983.370151250225,184548.1806200117,429.5907129117338,0.5942383067650863,sym15
32768,0.0482421875,0.001171959564089775,0.009291608152870716,0.09639298808975016,0.6231670709426572,304.51242244802415,3862.031803568072,2845.895125354052,5213.32159267582,338709.4917964541,581.9875357741385,0.5843089071278516,sym10
32768,0.07941706730769231,-0.0003471728414297104,0.0009726198826301677,0.031186854324060445,0.7599963905087277,31.874757807701826,4404.944691337178,3581.379765736982,5114.87345470427,58353.58788682153,241.56487303997974,0.6580128649353943,db16
32768,0.06332632211538461,-0.00020508095622062683,0.004387956426418524,0.06624165174886963,1.2488104465736662,143.78593434393406,4118.569325350937,2652.519435316211,4929.7209216901665,210330.18198026755,458.6176860744334,0.5901066116917518,sym19
